Event.Date,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Amateur.Built,Weather.Condition,Location,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Risk_Score,Make_Model
2010-05-23,Substantial,airplane,GARDNER DOUGLAS P,VAN/RV8A,1,Reciprocating,Yes,VMC,"Sebring, FL",Personal,1,0,0,0,3,GARDNER DOUGLAS P VAN/RV8A
2010-05-23,Minor,airplane,BOMBARDIER INC,CL-600-2B19,2,Turbo Fan,No,VMC,"Ontario, CA",,0,0,0,27,0,BOMBARDIER INC CL-600-2B19
2010-05-23,Substantial,airplane,CESSNA,180A,1,Reciprocating,No,VMC,"Kettle Falls, WA",Personal,0,0,0,1,0,CESSNA 180A
2010-05-23,Substantial,airplane,SOCATA,TBM,1,Turbo Prop,No,VMC,"Lost Hills, CA",Personal,0,0,0,5,0,SOCATA TBM
2010-05-23,Substantial,airplane,HALL THOMAS K,KITFOX SPEEDSTER,1,Reciprocating,Yes,VMC,"Defiance, OH",Personal,0,0,1,1,1,HALL THOMAS K KITFOX SPEEDSTER
2010-05-24,Substantial,airplane,CESSNA,172S,1,Reciprocating,No,VMC,"East Haddam, CT",Personal,0,0,0,4,0,CESSNA 172S
2010-05-24,Substantial,airplane,RICE,GN-1 AIR CAMPIER,1,Reciprocating,Yes,VMC,"Paulden, AZ",Personal,1,0,0,0,3,RICE GN-1 AIR CAMPIER
2010-05-24,Substantial,airplane,PIPER,PA-12,1,Reciprocating,No,VMC,"Tanana, AK",Personal,0,0,0,1,0,PIPER PA-12
2010-05-24,Substantial,airplane,DEHAVILLAND,BEAVER DHC-2 MK.1,1,Reciprocating,No,VMC,"Anchorage, AK",Instructional,0,0,0,3,0,DEHAVILLAND BEAVER DHC-2 MK.1
2010-05-25,Substantial,airplane,CESSNA,152,1,Reciprocating,No,VMC,"Merced, CA",Instructional,0,0,0,1,0,CESSNA 152
2010-05-25,Substantial,airplane,PIPER,PA23,2,Reciprocating,No,VMC,"North Bimini, Bahamas",Personal,2,0,0,0,6,PIPER PA23
2010-05-26,Substantial,airplane,PIPER,PA-28-161,1,Reciprocating,No,VMC,"Chandler, AZ",Instructional,0,1,1,0,3,PIPER PA-28-161
2010-05-26,Substantial,airplane,PIPER,PA-28R-200,1,Reciprocating,No,VMC,"St. George, UT",Personal,0,0,0,2,0,PIPER PA-28R-200
2010-05-27,Substantial,airplane,PIPER,J-3,1,Reciprocating,No,VMC,"Parker, CO",Personal,0,0,0,2,0,PIPER J-3
2010-05-27,Substantial,airplane,CESSNA,337G,2,Reciprocating,No,VMC,"High Springs, FL",Personal,0,1,0,0,2,CESSNA 337G
2010-05-27,Substantial,airplane,AEROPRO CZ,EUROFOX LSA,1,Reciprocating,No,VMC,"Belton, TX",Personal,0,0,0,1,0,AEROPRO CZ EUROFOX LSA
2010-05-27,Substantial,airplane,NORTH AMERICAN,T-28A,1,Reciprocating,No,VMC,"Oklahoma City, OK",Personal,0,0,0,2,0,NORTH AMERICAN T-28A
2010-05-28,Minor,airplane,CESSNA,560XL,2,Turbo Fan,No,VMC,"White Plains, NY",,0,0,0,4,0,CESSNA 560XL
2010-05-28,Substantial,airplane,HENNEY MICHAEL A,VANS RV-6A,1,Reciprocating,Yes,VMC,"Granbury, TX",Personal,1,0,1,0,4,HENNEY MICHAEL A VANS RV-6A
2010-05-29,Substantial,airplane,PIPER,PA-28-181,1,Reciprocating,No,VMC,"Palo Alto, CA",Personal,0,1,0,0,2,PIPER PA-28-181
2010-05-29,Substantial,airplane,LEPOW DAVID A,PRGSV AERDYN SEA REY,1,Reciprocating,Yes,VMC,"Chester, PA",Instructional,0,2,0,0,4,LEPOW DAVID A PRGSV AERDYN SEA REY
2010-05-29,Substantial,airplane,BELLANCA,7GCBC,1,Reciprocating,No,VMC,"Watertown, SD",Personal,2,0,0,0,6,BELLANCA 7GCBC
2010-05-29,Substantial,airplane,COVELL KEVIN SCOTT,VANS RV-4,1,Reciprocating,Yes,VMC,"Collinsville, OK",Personal,2,0,0,0,6,COVELL KEVIN SCOTT VANS RV-4
2010-05-29,Substantial,airplane,BAGLEY CURTIS LYNN,RANS S-6S COYOTE II,1,Reciprocating,Yes,VMC,"Koosharem, UT",Personal,0,0,0,2,0,BAGLEY CURTIS LYNN RANS S-6S COYOTE II
2010-05-29,Substantial,airplane,BEECH,C24R,1,Reciprocating,No,VMC,"Boise, ID",Instructional,0,0,0,2,0,BEECH C24R
2010-05-29,Substantial,airplane,PIPER,PA-22-150,1,Reciprocating,No,VMC,"Anchorage, AK",Personal,0,0,0,2,0,PIPER PA-22-150
